City_ID,City,Max Temp,Description,Lat,Lng,Hotel Name
126,Urumqi,263.68,mist,43.801,87.6005,Hua Ling Grand Hotel Urumqi
127,Yafran,279.57,clear sky,32.0633,12.5286,بيوت الشباب بيفرن
129,Beloha,296.3,clear sky,-25.1667,45.05,
130,Liwale,295.02,overcast clouds,-9.7667,37.9333,Samoma lodge
131,Talas,276.52,light rain,38.6908,35.5538,Fimaj Residence
132,Grootfontein,295.6,overcast clouds,-19.5667,18.1167,Meteor Travel Inn
133,Klaksvik,274.66,overcast clouds,62.2266,-6.589,Airbnb rooms
134,Port-Cartier,266.34,clear sky,50.0334,-66.8654,Le Q'Artier
135,Bandarbeyla,296.92,scattered clouds,9.4942,50.8122,JABIR HOTEL
136,Shinpokh,283.82,broken clouds,34.3292,71.1782,
137,Nantucket,279.24,clear sky,41.2835,-70.0995,Jared Coffin House
138,Jizan,298.67,clear sky,17.3333,42.6667,شهدان. ابوالحجر
139,Halifax,271.18,clear sky,44.6453,-63.5724,Hotel Halifax
140,Osakarovka,266.26,overcast clouds,50.565,72.5692,Motel' Osakarovka
141,Amposta,287.56,few clouds,40.7131,0.581,Hotel Hcc Montsià
142,Stepnyak,272.31,overcast clouds,52.8339,70.7803,
143,Berlevag,265.17,scattered clouds,70.8578,29.0864,Kvitbrakka
144,San Cristobal,296.25,broken clouds,7.7669,-72.225,Pirineos
145,Tucupita,297.36,broken clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
146,Muros,287.5,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
147,Viedma,291.02,few clouds,-40.8135,-62.9967,Hotel Cristal
148,Les Cayes,298.78,broken clouds,18.2,-73.75,Villa Orphee
149,Shache,270.11,few clouds,38.4167,77.2406,Delong Hotel
150,Taoudenni,288.3,clear sky,22.6783,-3.9836,
151,Samfya,294.95,few clouds,-11.3649,29.5565,Chita Lodge Samfya
152,Trybukhivtsi,269.95,broken clouds,49.0436,25.4581,"БУЧАЧ, РЕСТОРАН"
153,Krasnoselkup,238.46,broken clouds,65.7,82.4667,Krasnosel'kupnefteprodukt
154,Bull Savanna,297.7,overcast clouds,17.8868,-77.5902,Big Red's
155,Isla Mujeres,298.24,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
156,Pangnirtung,266.15,light snow,66.1451,-65.7125,Kilabuk Lodge
157,Dourbali,298.98,overcast clouds,11.8091,15.8632,
158,Teya,259.7,overcast clouds,60.3778,92.6267,
159,Rokiskis,267.48,overcast clouds,55.9667,25.5833,Pagunda
160,Laguna,294.94,mist,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
161,Rawson,296.33,clear sky,-43.3002,-65.1023,Hosteria Sampedro
162,Arraial Do Cabo,296.09,clear sky,-22.9661,-42.0278,Pousada Porto Praia
163,Sayyan,280.22,clear sky,15.1718,44.3244,ملاطف ابوحورية
164,Djambala,293.44,overcast clouds,-2.5447,14.7533,Hotel Ravin D'or
165,Castro,291.98,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
167,Baherden,279.63,clear sky,38.4362,57.4316,
168,Saint-Francois,277.86,broken clouds,46.4154,3.9054,Manoir Du Bonheur
169,Akureyri,263.11,clear sky,65.6835,-18.0878,Icelandair Hotel Akureyri
172,Iranshahr,287.52,clear sky,27.2025,60.6848,نیک سرشت
173,Narsaq,272.92,overcast clouds,60.9167,-46.05,Sleep In Narsaq
175,Margate,279.2,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
176,Cuamba,297.17,clear sky,-14.8031,36.5372,Hotel Vision
177,Saint-Gaudens,279.55,overcast clouds,43.0833,0.6667,L'Ardiégeoise
178,Senneterre,260.27,overcast clouds,48.3835,-77.2328,Motel Senabi
179,Pedro Ii,297.14,moderate rain,-4.4247,-41.4586,Opala Hotel
180,Mocuba,299.39,clear sky,-16.8392,36.9856,Phama Lodge
182,Namibe,294.3,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
184,Kolondieba,298.31,broken clouds,11.0882,-6.8926,Hotel Dakan
185,Lerwick,276.15,overcast clouds,60.1545,-1.1494,The Lerwick Hotel
186,Derzhavinsk,264.18,overcast clouds,51.1,66.3167,Ooo.khim Baza
188,Atar,295.8,broken clouds,20.5169,-13.0499,Oumou Elghoura
189,Jalu,287.55,few clouds,29.0331,21.5482,صاحبة الفخامة
190,Duiwelskloof,295.66,few clouds,-23.6934,30.14,Silvermist Guesthouse
191,Ostrovnoy,257.56,broken clouds,68.0531,39.5131,
193,Chuy,290.95,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
194,Ludvika,268.17,overcast clouds,60.1496,15.1878,Ludvika Stadshotell
195,Saint-Joseph,297.35,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
196,Povenets,257.84,clear sky,62.8487,34.8262,Eko Otel' Bol'shaya Medveditsa
198,Sahbuz,266.93,scattered clouds,39.4072,45.5739,
199,Montepuez,293.58,clear sky,-13.1256,38.9997,PembaAparthotel
200,Lagoa,290.61,broken clouds,39.05,-27.9833,Casa Das Faias
201,Poshekhonye,254.83,scattered clouds,58.4993,39.1353,Chudnoy Dvor
202,Rio Grande,294.23,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
203,Gondar,287.84,clear sky,12.6,37.4667,L Shape Hotel
204,Bailieborough,276.17,clear sky,53.9167,-6.9667,The Rock Equestrian Farm B&B
205,Dagda,267.92,overcast clouds,56.0951,27.5372,"Tineji , ZS, Brivdienu maja"
206,Tiznit,285.98,clear sky,29.5833,-9.5,
207,Ambilobe,297.62,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
208,Hobyo,299.1,broken clouds,5.3505,48.5268,Iftin hotel hobyo
209,Awjilah,288.03,scattered clouds,29.1081,21.2869,المنزل
210,Boras,271.12,broken clouds,57.721,12.9401,Scandic Plaza Borås
211,Nanortalik,274.88,moderate rain,60.1432,-45.2371,Hotel Kap Farvel
212,Varena,271.75,overcast clouds,54.2167,24.5667,"EKORATAS, UAB viešbutis Varėna"
213,Kozluk,276.29,overcast clouds,38.1938,41.4885,roni rezisdans kozluk apart otel
214,Sandy Bay,288.87,few clouds,-42.913,147.3532,St Ives Hobart Accommodation Tasmania
216,Ypsonas,290.69,scattered clouds,34.6884,32.9574,Club Aphrodite
218,Bagru,288.34,clear sky,26.8088,75.5423,Nandan Green Housed Limited
219,Usinsk,249.22,broken clouds,65.9939,57.5281,Dobro Pozhalovaty
220,Ratnapura,296.86,broken clouds,6.6828,80.3992,Hotel Helenium
221,Sabha,282.05,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
222,Storforshei,255.8,clear sky,66.4043,14.5233,Anne Berit Sætermo
223,Lebu,286.78,clear sky,-37.6167,-73.65,Hostal Las Lilas
224,Mwinilunga,290.18,scattered clouds,-11.7358,24.4293,Kwakuwahi Lodge
225,Staroutkinsk,273.85,light snow,57.2302,59.3348,Staraya Utka
226,Sao Joao Da Barra,295.96,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
227,Muisne,297.31,overcast clouds,0.6,-80.0333,Quinta Samay
228,Vallenar,299.48,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
229,Eyl,296.9,overcast clouds,7.9803,49.8164,Amiin Hotel
230,Pirgos,286.83,overcast clouds,35.1167,25.7178,Elpida Village
231,Hamilton,282.06,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
232,Mogadishu,299.54,scattered clouds,2.0371,45.3438,Hotel Juba
233,Kanniyakumari,298.96,broken clouds,8.0833,77.5667,Sparsa Kanyakumari
234,Sao Bernardo,297.95,overcast clouds,-3.3614,-42.4178,Hotel Prado
235,Monrovia,299.02,broken clouds,6.3005,-10.7969,Sunset Inn
236,Keetmanshoop,287.18,clear sky,-26.5833,18.1333,Quiver Inn Guesthouse
238,Posse,293.09,light rain,-14.0931,-46.3694,Pousada das Palmeiras
239,Watsa,291.37,light rain,3.0372,29.5355,Hôtel Le Pacifique
240,Lithakia,284.59,clear sky,37.7167,20.8333,Zante Plaza Hotel & Apartments
241,Prainha,298.48,overcast clouds,-1.8,-53.48,Casa Rocha
242,Garowe,293.14,few clouds,8.4054,48.4845,Curubo Hotel
243,Teguldet,266.83,overcast clouds,57.3064,88.1667,
244,Swansea,280.62,scattered clouds,51.6208,-3.9432,Village Hotel Swansea
245,Umm Lajj,297.29,clear sky,25.0213,37.2685,Moon light Furnished Units
246,Karatau,278.8,overcast clouds,43.1667,70.4667,Baza Zika
247,Sharkan,272.13,overcast clouds,57.2989,53.8712,Rodnichok
248,Bol,298.2,clear sky,13.4586,14.7147,Harrouni camp de passage
249,Warmbad,287.24,clear sky,-28.45,18.7333,
250,Orangeburg,290.1,clear sky,33.4918,-80.8557,Palmetto Inn & Suites
251,Virginia Beach,285.37,broken clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
252,Uspenka,273.58,snow,48.3903,39.1619,"Санаторий-профилакторий ""Парус"""
253,Aswan,293.51,clear sky,24.0934,32.907,Nuba Nile
254,Kamakwie,298.18,broken clouds,9.5,-12.2333,White House Hotel
255,Abrau-Dyurso,284.85,overcast clouds,44.69,37.59,Avgustin Inn
256,Mponela,294.63,clear sky,-13.5319,33.7401,Ram's Executive Lodge
257,Puteyets,251.8,overcast clouds,65.1716,57.091,"Sot ""Agrarnik"""
258,Caravelas,296.98,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
260,Burgkirchen,280.42,overcast clouds,48.2044,13.0999,Gasthof Ginzinger
261,Okahandja,289.32,clear sky,-21.9833,16.9167,Guesthouse Villa Nina
262,Havre-Saint-Pierre,270.15,clear sky,50.2334,-63.5986,Auberge Niapiskau
263,Opochka,267.5,overcast clouds,56.7105,28.6617,Surgutneftegaz Motel
264,Korla,270.05,overcast clouds,41.7597,86.1469,Gulisitan Hotel
265,Eidsvag,274.51,overcast clouds,62.7767,8.0668,Eidsvåg Fjordhotell
266,Trzcianka,272.6,overcast clouds,53.0406,16.4563,Lodges Trzy Stawy
267,Hualmay,293.3,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
268,Nedjo,288.77,clear sky,9.5046,35.5019,Yerosan Hotel
269,Kalmunai,298.06,clear sky,7.4167,81.8167,VS Villa
270,Jawar,290.19,clear sky,23.0,76.5,Sree balaji
271,Ponta Delgada,290.65,broken clouds,37.7333,-25.6667,Vila Nova Hotel
272,Termiz,279.2,light rain,37.2242,67.2783,Hotel Ulugbek
273,Valparaiso,298.28,clear sky,-33.0393,-71.6273,Hotel Ultramar
274,Boda,297.79,broken clouds,4.3189,17.4695,
275,Webuye,290.82,broken clouds,0.6075,34.7697,Satellite View Hotel
276,Altay,267.26,clear sky,47.8667,88.1167,Jinqiao Hotel
277,Ernei,270.86,broken clouds,46.605,24.6415,Apollo Wellness Club
278,Talcahuano,291.97,smoke,-36.7167,-73.1167,departamento comodo
279,Iquique,292.17,scattered clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
280,Werda,292.95,overcast clouds,-25.2667,23.2833,
283,Chlorakas,290.72,few clouds,34.8042,32.4083,Elysium Hotel
284,Asyut,290.76,broken clouds,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
285,Ebbs,279.36,light rain,47.6333,12.2167,Sporthotel Wilder Kaiser
286,Fiumicino,289.3,scattered clouds,41.7675,12.2291,Al Porticciolo Hotel
287,Khulna,291.45,overcast clouds,22.8135,89.5672,Hotel Jalico
288,Kamenka,270.79,overcast clouds,51.3223,42.7678,
289,Madison,290.0,mist,34.7334,-86.5667,Embassy Suites by Hilton Huntsville Hotel & Spa
291,Honningsvag,268.11,clear sky,70.9821,25.9704,Nordkapp Vandrerhjem
292,Birjand,271.41,clear sky,32.8663,59.2211,Birjand Tourist Hotel
293,Paita,295.46,broken clouds,-5.0892,-81.1144,Hotel Náutico de Paita
294,Sira,294.62,overcast clouds,13.7453,76.9092,Sri Venkateshwara Lodge
295,Hammerfest,263.4,clear sky,70.6634,23.6821,Skytterhuset
296,Kautokeino,249.65,overcast clouds,69.0125,23.0412,Thon Hotel Kautokeino
297,Mlimba,296.67,light rain,-8.8,35.8167,California Lodge
298,Abapo,293.67,light rain,-18.8333,-63.4667,
299,Dole,277.46,clear sky,47.0833,5.5,Hôtel Restaurant Campanile Dole
300,Araouane,292.91,overcast clouds,18.9048,-3.5265,
301,Soure,299.66,light rain,-0.7167,-48.5233,Casarão da Amazônia
302,Kargil,263.01,broken clouds,34.5667,76.1,Hotel Caravan Sarai Kargil
303,Maniitsoq,277.36,overcast clouds,65.4167,-52.9,Hotel Heilmann Lyberth
304,Eldorado,299.86,broken clouds,-23.7869,-54.2836,Villa Verde Hotel
305,Cap Malheureux,298.42,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
306,Nador,289.29,clear sky,35.174,-2.9287,Hôtel La Giralda
307,Jacareacanga,296.85,moderate rain,-6.2222,-57.7528,Casa do Ian😎
308,Kitui,290.09,scattered clouds,-1.367,38.0106,Heritage Bliss Hotel
310,Puerto Ayora,294.2,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
